project_id,asset_class,database,sector_code,country,region,invest_usd,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Construction,70.0,17925.6,1076.04,67.9,33.6,144.9,72.8
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Energy_Utilities,20.0,4280.32,102.66,30.78,12.8,195.5,39.0
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Manufacturing,62.5,26904.0,536.8,117.6,26.25,230.0,97.5
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Transport_Logistics,17.5,3505.337,187.915,12.2976,10.5,42.2625,63.7
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Health_Social,45.0,7224.84,922.752,51.0705,31.5,46.575,23.4
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Agriculture,5.0,793.8,129.8,32.7375,3.8,16.1,5.85
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Mining_Extraction,12.5,4733.6,93.94,27.648,7.0,64.6875,22.75
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,Water_Waste,17.5,2157.925,223.02,177.66,12.075,24.15,11.375
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Construction,5.5,1643.18,109.494,6.6154,2.64,13.365,6.38
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Energy_Utilities,1.75,555.94,11.267,3.29175,1.12,20.08125,3.80625
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Manufacturing,8.75,4404.96,93.632,19.551,3.675,37.8,15.225
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Transport_Logistics,1.5,336.105,20.202,1.22688,0.9,4.2525,6.09
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Health_Social,4.5,840.924,116.786,6.08918,3.15,5.4675,2.61
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Agriculture,0.25,41.16,8.14,2.00062,0.19,0.945,0.32625
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Mining_Extraction,1.5,642.528,14.045,3.93984,0.84,9.1125,3.045
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,Water_Waste,1.25,193.325,21.33,14.57,0.8625,2.025,0.90625
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,Construction,22.5,3745.17,192.78,13.095,10.8,29.16,12.24
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,Energy_Utilities,7.5,652.08,23.49,7.524,4.8,45.9,7.65
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,Manufacturing,16.5,4815.36,83.635,19.8891,6.93,38.016,13.464
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,Transport_Logistics,6.0,814.8,42.588,2.69568,3.6,9.072,11.424
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,Health_Social,11.25,1125.18,129.762,7.857,7.875,7.29,3.06
