project_id,asset_class,database,sector_code,country,region,invest_usd,tier_range,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3-10,Agriculture,0.30008,47.727,8.872,2.16088,0.22805
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3-10,Construction,0.5327500000000001,143.621,9.191,0.5654899999999999,0.25575000000000003
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3-10,Energy_Utilities,0.98355,269.286,5.698,1.66866,0.62947
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3-10,Health_Social,0.56684,97.513,13.171000000000001,0.70073,0.39679000000000003
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3-10,Manufacturing,1.62988,741.485,15.358,3.26452,0.68455
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3-10,Mining_Extraction,1.3901000000000001,539.799,11.586,3.29812,0.7784300000000001
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3-10,Transport_Logistics,0.71419,149.051,8.772,0.53979,0.42847
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,3-10,Water_Waste,0.3901,54.644,5.985,4.1988,0.2692
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,3-10,Agriculture,1.5004,236.95,42.819,10.497630000000001,1.14033
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,3-10,Construction,2.66401,695.702,42.972,2.72301,1.27875
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,3-10,Energy_Utilities,4.91781,1259.178,26.697,7.99777,3.14736
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,3-10,Health_Social,2.8342199999999997,468.354,60.779,3.38488,1.9839499999999999
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,3-10,Manufacturing,8.149329999999999,3629.4939999999997,75.05,16.34204,3.42274
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,3-10,Mining_Extraction,6.95036,2635.547,56.384,16.47442,3.89222
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,3-10,Transport_Logistics,3.57078,725.191,42.316,2.67868,2.14248
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,3-10,Water_Waste,1.95054,255.09,27.535,20.9694,1.34586
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,3-10,Agriculture,0.01999,2.649,0.356,0.08282,0.01521
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,3-10,Construction,0.03551,6.83,0.379,0.02486,0.01701
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,3-10,Energy_Utilities,0.06558,8.147,0.239,0.07417,0.04193
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,3-10,Health_Social,0.03778,4.292,0.514,0.03006,0.02647
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,3-10,Manufacturing,0.10864,36.461999999999996,0.6759999999999999,0.15449,0.04563
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,3-10,Mining_Extraction,0.09266,24.571,0.495,0.15073,0.0519
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,3-10,Transport_Logistics,0.04762,7.173,0.385,0.02445,0.02856
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,3-10,Water_Waste,0.026000000000000002,2.22,0.249,0.18775999999999998,0.01793
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,3-10,Agriculture,2.25584,351.703,57.54,14.27666,1.71445
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,3-10,Construction,3.91524,971.117,58.3,3.6843,1.8793199999999999
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,3-10,Energy_Utilities,7.27384,1533.8880000000001,36.5,10.8781,4.65524
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,3-10,Health_Social,4.20665,656.58,83.634,4.64007,2.9446499999999998
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,3-10,Manufacturing,11.98897,5026.792,100.343,21.94042,5.03537
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,3-10,Mining_Extraction,10.21298,3713.73,74.951,21.99078,5.71927
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,3-10,Transport_Logistics,5.28397,1030.373,56.062000000000005,3.6319,3.17038
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,3-10,Water_Waste,2.90137,349.872,36.59,28.60801,2.00192
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3-10,Agriculture,0.2334,37.116,6.899,1.6804700000000001,0.17736
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3-10,Construction,0.40775,109.912,7.036,0.43276,0.19569
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3-10,Energy_Utilities,0.75473,206.634,4.375,1.2804,0.48303999999999997
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3-10,Health_Social,0.43617,75.035,10.138,0.53921,0.3053
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3-10,Manufacturing,1.24474,566.279,11.728,2.49313,0.52281
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3-10,Mining_Extraction,1.0631599999999999,412.858,8.861,2.52251,0.59537
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3-10,Transport_Logistics,0.54833,114.44800000000001,6.736,0.41444,0.329
Proj_002,Health,exiobase,Health_Specialized,Africa,Africa,25000000.0,3-10,Water_Waste,0.30078,42.132,4.614,3.23747,0.20756
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3-10,Agriculture,0.67282,89.107,12.017,2.78532,0.5113099999999999
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3-10,Construction,1.16981,224.913,12.464,0.8182499999999999,0.5615
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3-10,Energy_Utilities,2.17407,270.08500000000004,7.946,2.45823,1.3914
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3-10,Health_Social,1.25685,142.722,17.065,1.00094,0.8797900000000001
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3-10,Manufacturing,3.58506,1203.151,22.384,5.09724,1.5057
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3-10,Mining_Extraction,3.05218,809.248,16.427,4.9642100000000005,1.7092
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3-10,Transport_Logistics,1.57888,237.885,12.797,0.81006,0.94733
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,3-10,Water_Waste,0.86678,73.977,8.299,6.2583,0.59807
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,3-10,Agriculture,19.3602,2564.081,345.821,80.14815,14.71375
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,3-10,Construction,34.26153,6587.484,365.046,23.96606,16.44555
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,3-10,Energy_Utilities,63.35461,7870.728,231.538,71.63628,40.54694
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,3-10,Health_Social,36.52858,4148.017,495.995,29.09089,25.56999
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,3-10,Manufacturing,104.91015,35208.083,655.013,149.1609,44.06227
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,3-10,Mining_Extraction,89.40427,23704.521,481.159,145.41244,50.06639
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,3-10,Transport_Logistics,45.99559,6930.0070000000005,372.77500000000003,23.59863,27.59737
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,3-10,Water_Waste,25.14741,2146.389,240.784,181.57373,17.35174
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,3-10,Agriculture,0.0011,0.148,0.017,0.00466,0.0008600000000000001
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,3-10,Construction,0.00197,0.377,0.018000000000000002,0.00134,0.0009500000000000001
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,3-10,Energy_Utilities,0.00365,0.452,0.011,0.0041,0.00232
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,3-10,Health_Social,0.0020800000000000003,0.239,0.025,0.00168,0.00144
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,3-10,Manufacturing,0.0059900000000000005,2.012,0.035,0.0085,0.00248
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,3-10,Mining_Extraction,0.00512,1.359,0.026,0.00829,0.00283
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,3-10,Transport_Logistics,0.00264,0.396,0.02,0.00131,0.00157
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,3-10,Water_Waste,0.00143,0.122,0.012,0.01051,0.00097
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,3-10,Agriculture,0.0007700000000000001,0.10200000000000001,0.012,0.00322,0.00057
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,3-10,Construction,0.00133,0.259,0.011,0.00095,0.00064
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,3-10,Energy_Utilities,0.00251,0.308,0.007,0.00282,0.0015899999999999998
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,3-10,Health_Social,0.00143,0.164,0.017,0.00115,0.00099
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,3-10,Manufacturing,0.00415,1.395,0.026000000000000002,0.00594,0.00172
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,3-10,Mining_Extraction,0.00354,0.941,0.017,0.00577,0.00197
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,3-10,Transport_Logistics,0.00183,0.275,0.013000000000000001,0.00091,0.00108
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,3-10,Water_Waste,0.00098,0.083,0.007,0.0072499999999999995,0.00066
