project_id,asset_class,database,sector_code,country,region,invest_usd,tier,supplying_sector,sourcing_region,sourcing_share,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Construction,LATAM,0.6437,6.4368,1648.336,98.946,6.2437,3.08966
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Construction,Europe,0.0843,0.84291,140.304,7.222,0.49057,0.4046
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Construction,Asia,0.1533,1.53256,425.163,26.648,1.68876,0.73563
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Construction,Africa,0.0153,0.15326,45.787,3.051,0.18434,0.07356
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Construction,Global,0.1034,1.03448,220.757,13.034,0.80275,0.49655
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Energy_Utilities,LATAM,0.6991,12.25173,2622.066,62.888,18.85541,7.84111
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Energy_Utilities,Europe,0.0712,1.24744,108.457,3.907,1.25143,0.79836
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Energy_Utilities,Asia,0.1294,2.26807,637.093,13.023,3.93012,1.45157
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Energy_Utilities,Africa,0.0129,0.22681,72.052,1.46,0.42662,0.14516
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Energy_Utilities,Global,0.0874,1.53095,255.975,6.66,1.74528,0.97981
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Manufacturing,LATAM,0.626,18.70801,8053.125,160.679,35.20099,7.85736
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Manufacturing,Europe,0.0885,2.64402,771.631,13.402,3.1871,1.11049
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Manufacturing,Asia,0.1609,4.80731,2279.818,48.058,10.45878,2.01907
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Manufacturing,Africa,0.0161,0.48073,242.011,5.144,1.07414,0.20191
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Manufacturing,Global,0.1086,3.24493,1183.751,22.844,4.77005,1.36287
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Transport_Logistics,LATAM,0.7052,9.03563,1809.882,97.025,6.34952,5.42138
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Transport_Logistics,Europe,0.0697,0.89345,121.331,6.342,0.40141,0.53607
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Transport_Logistics,Asia,0.1268,1.62446,344.69,20.4,1.29125,0.97468
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Transport_Logistics,Africa,0.0127,0.16245,36.399,2.188,0.13287,0.09747
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Transport_Logistics,Global,0.0856,1.09651,186.133,9.978,0.63159,0.65791
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Health_Social,LATAM,0.7195,8.95418,1437.611,183.611,10.1621,6.26792
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Health_Social,Europe,0.0664,0.82579,82.592,9.525,0.57673,0.57805
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Health_Social,Asia,0.1206,1.50143,260.816,34.155,1.90058,1.051
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Health_Social,Africa,0.0121,0.15014,28.058,3.897,0.20317,0.1051
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Health_Social,Global,0.0814,1.01346,133.372,16.236,0.88475,0.70943
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Agriculture,LATAM,0.7117,3.79681,602.782,98.565,24.85963,2.88558
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Agriculture,Europe,0.0682,0.36387,45.466,5.444,1.23535,0.27654
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Agriculture,Asia,0.124,0.66159,106.978,20.086,4.97347,0.50281
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Agriculture,Africa,0.0124,0.06616,10.892,2.154,0.52943,0.05028
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Agriculture,Global,0.0837,0.44657,65.646,9.825,2.16587,0.33939
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Mining_Extraction,LATAM,0.6556,15.4553,5852.736,116.15,34.18465,8.65497
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Mining_Extraction,Europe,0.0815,1.92079,429.273,8.519,2.6553,1.07564
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Mining_Extraction,Asia,0.1481,3.49234,1409.231,30.548,8.93146,1.95571
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Mining_Extraction,Africa,0.0148,0.34923,149.595,3.27,0.91729,0.19557
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Mining_Extraction,Global,0.1,2.35733,731.716,14.521,4.07347,1.32011
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Water_Waste,LATAM,0.7192,4.95321,610.781,63.124,50.28503,3.41772
Proj_001,Health,exiobase,Health_Social,LATAM,LATAM,250000000.0,1,Water_Waste,Europe,0.0664,0.45757,33.471,3.855,2.92481,0.31573
